"B6" "Balance of payments BPM6"
"IR3TTS01" "Interest Rates > 3-month or 90-day rates and yields > Treasury securities > Total"
"IRLO" "Interest Rates > Other long term rates and yields"
"IRLOBL" "Interest Rates > Other long term rates and yields > Bank loans"
"IRLOBL01" "Interest Rates > Other long term rates and yields > Bank loans > Bank loans"
"IRLOHO" "Interest Rates > Other long term rates and yields > Housing"
"IRLOHO01" "Interest Rates > Other long term rates and yields > Housing > Housing bonds"
"IRLOHO02" "Interest Rates > Other long term rates and yields > Housing > Mortgage rates"
"IRLT" "Interest Rates > Long-term government bond yields"
"IRLTCT" "Interest Rates > Long-term government bond yields > Combined terms"
"IRLTCT01" "Interest Rates > Long-term government bond yields > Combined terms > Total"
"IRLTLT" "Interest Rates > Long-term government bond yields > 10-year"
"IRLTLT01" "Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)"
"IRLTMT" "Interest Rates > Long-term government bond yields > 2- to 9-year"
"IRLTMT01" "Interest Rates > Long-term government bond yields > 2- to 9-year > Total"
"IRLTST" "Interest Rates > Long-term government bond yields > 6-month to 2-year"
"IRLTST01" "Interest Rates > Long-term government bond yields > 6-month to 2-year > Total"
"IRSP" "Interest Rates > Spread of interest rates"
"IRSPTT" "Interest Rates > Spread of interest rates > Total"
"IRSPTT01" "Interest Rates > Spread of interest rates > Total > Total"
"IRST" "Interest Rates > Immediate rates (< 24 hrs)"
"IRSTCB" "Interest Rates > Immediate rates (< 24 hrs) > Central bank rates"
"IRSTCB01" "Interest Rates > Immediate rates (< 24 hrs) > Central bank rates > Total"
"IRSTCI" "Interest Rates > Immediate rates (< 24 hrs) > Call money/interbank rate"
"IRSTCI01" "Interest Rates > Immediate rates (< 24 hrs) > Call money/interbank rate > Total"
"IRSTFR" "Interest Rates > Immediate rates (< 24 hrs) > Federal funds rate"
"IRSTFR01" "Interest Rates > Immediate rates (< 24 hrs) > Federal funds rate > Total"
"IRSTLQ" "Interest Rates > Immediate rates (< 24 hrs) > Liquidity credit rates"
"IRSTLQ01" "Interest Rates > Immediate rates (< 24 hrs) > Liquidity credit rates > Total"
"IRSTPI" "Interest Rates > Immediate rates (< 24 hrs) > Prime rates"
"IRSTPI01" "Interest Rates > Immediate rates (< 24 hrs) > Prime rates > Total"
"LC" "Labour Compensation"
"LCEA" "Labour Compensation > Earnings"
"LCEAIN" "Labour Compensation > Earnings > Industry"
"LCEAIN01" "Labour Compensation > Earnings > Industry > Hourly"
"LCEAIN03" "Labour Compensation > Earnings > Industry > Monthly"
"LCEAMM" "Labour Compensation > Earnings > Manufacturing and mining"
"LCEAMM01" "Labour Compensation > Earnings > Manufacturing and mining > Hourly"
"LCEAMM03" "Labour Compensation > Earnings > Manufacturing and mining > Monthly"
"LCEAMN" "Labour Compensation > Earnings > Manufacturing"
"LCEAMN01" "Labour Compensation > Earnings > Manufacturing > Hourly"
"LCEAMN02" "Labour Compensation > Earnings > Manufacturing > Weekly"
"LCEAMN03" "Labour Compensation > Earnings > Manufacturing > Monthly"
"LCEAMN04" "Labour Compensation > Earnings > Manufacturing > Real monthly earnings"
"LCEAMN06" "Labour Compensation > Earnings > Manufacturing > National accounts: total"
"LCEAPR" "Labour Compensation > Earnings > Private sector"
"LCEAPR01" "Labour Compensation > Earnings > Private sector > Hourly"
"LCEAPR02" "Labour Compensation > Earnings > Private sector > Weekly"
"LCEAPR03" "Labour Compensation > Earnings > Private sector > Monthly"
"LCEATT" "Labour Compensation > Earnings > All activities"
"LCEATT01" "Labour Compensation > Earnings > All activities > Hourly"
"LCEATT02" "Labour Compensation > Earnings > All activities > Weekly"
"LCEATT03" "Labour Compensation > Earnings > All activities > Monthly"
"LCEATT04" "Labour Compensation > Earnings > All activities > Real monthly earnings"
"LCLC" "Labour Compensation > Labour cost"
"LCLCMM" "Labour Compensation > Labour cost > Manufacturing and mining"
"LCLCMM01" "Labour Compensation > Labour cost > Manufacturing and mining > Total"
"LCLCPR" "Labour Compensation > Labour cost > Private sector"
"LCLCPR01" "Labour Compensation > Labour cost > Private sector > Total"
"LCUL" "Labour Compensation > Unit Labour Cost"
"LCULMN" "Labour Compensation > Unit Labour Cost > Manufacturing"
"LCULMN01" "Labour Compensation > Unit Labour Cost > Manufacturing > Total"
"LCWR" "Labour Compensation > Wage Rate"
"LCWRIN" "Labour Compensation > Wage Rate > Industry"
"LCWRIN01" "Labour Compensation > Wage Rate > Industry > Hourly"
"LCWRMN" "Labour Compensation > Wage Rate > Manufacturing"
"LCWRMN01" "Labour Compensation > Wage Rate > Manufacturing > Hourly"
"LCWRPR" "Labour Compensation > Wage Rate > Private sector"
"LCWRPR01" "Labour Compensation > Wage Rate > Private sector > Hourly"
"LCWRTT" "Labour Compensation > Wage Rate > All activities"
"LCWRTT01" "Labour Compensation > Wage Rate > All activities > Hourly"
"LF" "Labour Force Survey - quarterly levels"
"LFAC" "Labour Force Survey - quarterly levels > Active population"
"LFAC24" "Labour Force Survey - quarterly levels > Active population > Aged 15-24"
"LFAC24FE" "Labour Force Survey - quarterly levels > Active population > Aged 15-24 > Females"
"LFAC24MA" "Labour Force Survey - quarterly levels > Active population > Aged 15-24 > Males"
"LFAC24TT" "Labour Force Survey - quarterly levels > Active population > Aged 15-24 > All persons"
"LFAC25" "Labour Force Survey - quarterly levels > Active population > Aged 25-54"
"LFAC25FE" "Labour Force Survey - quarterly levels > Active population > Aged 25-54 > Females"
"LFAC25MA" "Labour Force Survey - quarterly levels > Active population > Aged 25-54 > Males"
"LFAC25TT" "Labour Force Survey - quarterly levels > Active population > Aged 25-54 > All persons"
"LFAC55" "Labour Force Survey - quarterly levels > Active population > Aged 55-64"
"LFAC55FE" "Labour Force Survey - quarterly levels > Active population > Aged 55-64 > Females"
"LFAC55MA" "Labour Force Survey - quarterly levels > Active population > Aged 55-64 > Males"
"LFAC55TT" "Labour Force Survey - quarterly levels > Active population > Aged 55-64 > All persons"
"LFAC64" "Labour Force Survey - quarterly levels > Active population > Aged 15-64"
"LFAC64FE" "Labour Force Survey - quarterly levels > Active population > Aged 15-64 > Females"
"LFAC64MA" "Labour Force Survey - quarterly levels > Active population > Aged 15-64 > Males"
"LFAC64TT" "Labour Force Survey - quarterly levels > Active population > Aged 15-64 > All persons"
"LFAC74" "Labour Force Survey - quarterly levels > Active population > Aged 15-74"
"LFAC74FE" "Labour Force Survey - quarterly levels > Active population > Aged 15-74 > Females"
"LFAC74MA" "Labour Force Survey - quarterly levels > Active population > Aged 15-74 > Males"
"LFAC74TT" "Labour Force Survey - quarterly levels > Active population > Aged 15-74 > All persons"
"LFACTT" "Labour Force Survey - quarterly levels > Active population > Aged 15 and over"
"LFACTTFE" "Labour Force Survey - quarterly levels > Active population > Aged 15 and over > Females"
"LFACTTMA" "Labour Force Survey - quarterly levels > Active population > Aged 15 and over > Males"
"LFACTTTT" "Labour Force Survey - quarterly levels > Active population > Aged 15 and over > All persons"
"LFEA" "Labour Force Survey - quarterly levels > Employment - by economic activity"
"LFEAAG" "Labour Force Survey - quarterly levels > Employment - by economic activity > Agriculture"
"LFEAAGTT" "Labour Force Survey - quarterly levels > Employment - by economic activity > Agriculture > All persons"
"LFEACN" "Labour Force Survey - quarterly levels > Employment - by economic activity > Construction"
"LFEACNTT" "Labour Force Survey - quarterly levels > Employment - by economic activity > Construction > All persons"
"LFEAIC" "Labour Force Survey - quarterly levels > Employment - by economic activity > Industry including construction"
"LFEAICTT" "Labour Force Survey - quarterly levels > Employment - by economic activity > Industry including construction > All persons"
"LFEAIN" "Labour Force Survey - quarterly levels > Employment - by economic activity > Industry excluding construction"
"LFEAINTT" "Labour Force Survey - quarterly levels > Employment - by economic activity > Industry excluding construction > All persons"
"LFEAMN" "Labour Force Survey - quarterly levels > Employment - by economic activity > Manufacturing"
"LFEAMNTT" "Labour Force Survey - quarterly levels > Employment - by economic activity > Manufacturing > All persons"
"LFEASE" "Labour Force Survey - quarterly levels > Employment - by economic activity > Services"
"LFEASETT" "Labour Force Survey - quarterly levels > Employment - by economic activity > Services > All persons"
"LFEM" "Labour Force Survey - quarterly levels > Employed population"
"LFEM24" "Labour Force Survey - quarterly levels > Employed population > Aged 15-24"
"LFEM24FE" "Labour Force Survey - quarterly levels > Employed population > Aged 15-24 > Females"
"LFEM24MA" "Labour Force Survey - quarterly levels > Employed population > Aged 15-24 > Males"
"LFEM24TT" "Labour Force Survey - quarterly levels > Employed population > Aged 15-24 > All persons"
"LFEM25" "Labour Force Survey - quarterly levels > Employed population > Aged 25-54"
"LFEM25FE" "Labour Force Survey - quarterly levels > Employed population > Aged 25-54 > Females"
"LFEM25MA" "Labour Force Survey - quarterly levels > Employed population > Aged 25-54 > Males"
"LFEM25TT" "Labour Force Survey - quarterly levels > Employed population > Aged 25-54 > All persons"
"LFEM55" "Labour Force Survey - quarterly levels > Employed population > Aged 55-64"
"LFEM55FE" "Labour Force Survey - quarterly levels > Employed population > Aged 55-64 > Females"
"LFEM55MA" "Labour Force Survey - quarterly levels > Employed population > Aged 55-64 > Males"
"LFEM55TT" "Labour Force Survey - quarterly levels > Employed population > Aged 55-64 > All persons"
"LFEM64" "Labour Force Survey - quarterly levels > Employed population > Aged 15-64"
"LFEM64FE" "Labour Force Survey - quarterly levels > Employed population > Aged 15-64 > Females"
"LFEM64MA" "Labour Force Survey - quarterly levels > Employed population > Aged 15-64 > Males"
"LFEM64TT" "Labour Force Survey - quarterly levels > Employed population > Aged 15-64 > All persons"
"LFEM74" "Labour Force Survey - quarterly levels > Employed population > Aged 15-74"
"LFEM74FE" "Labour Force Survey - quarterly levels > Employed population > Aged 15-74 > Females"
"LFEM74MA" "Labour Force Survey - quarterly levels > Employed population > Aged 15-74 > Males"
"LFEM74TT" "Labour Force Survey - quarterly levels > Employed population > Aged 15-74 > All persons"
"LFEMTT" "Labour Force Survey - quarterly levels > Employed population > Aged 15 and over"
"LFEMTTFE" "Labour Force Survey - quarterly levels > Employed population > Aged 15 and over > Females"
"LFEMTTMA" "Labour Force Survey - quarterly levels > Employed population > Aged 15 and over > Males"
"LFEMTTTT" "Labour Force Survey - quarterly levels > Employed population > Aged 15 and over > All persons"
"LFES" "Labour Force Survey - quarterly levels > Employment - by professional status"
"LFESEE" "Labour Force Survey - quarterly levels > Employment - by professional status > Employees"
"LFESEETT" "Labour Force Survey - quarterly levels > Employment - by professional status > Employees > Total"
"LFHU" "Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels"
"LFHU24" "Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 15-24"
"LFHU24FE" "Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 15-24 > Females"
"LFHU24MA" "Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 15-24 > Males"
"LFHU24TT" "Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 15-24 > All persons"
"LFHUAD" "Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 25 and over"
"LFHUADFE" "Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 25 and over > Females"
"LFHUADMA" "Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 25 and over > Males"
"LFHUADTT" "Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Aged 25 and over > All persons"
"LFHUTT" "Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Total"
"LFHUTTFE" "Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Total > Females"
"LFHUTTMA" "Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Total > Males"
"LFHUTTTT" "Labour Force Survey - quarterly levels > Harmonised unemployment - monthly levels > Total > All persons"
"LFIN" "Labour Force Survey - quarterly levels > Inactive population"
"LFIN24" "Labour Force Survey - quarterly levels > Inactive population > Aged 15-24"
"LFIN24FE" "Labour Force Survey - quarterly levels > Inactive population > Aged 15-24 > Females"
"LFIN24MA" "Labour Force Survey - quarterly levels > Inactive population > Aged 15-24 > Males"
"LFIN24TT" "Labour Force Survey - quarterly levels > Inactive population > Aged 15-24 > All persons"
"LFIN25" "Labour Force Survey - quarterly levels > Inactive population > Aged 25-54"
"LFIN25FE" "Labour Force Survey - quarterly levels > Inactive population > Aged 25-54 > Females"
"LFIN25MA" "Labour Force Survey - quarterly levels > Inactive population > Aged 25-54 > Males"
"LFIN25TT" "Labour Force Survey - quarterly levels > Inactive population > Aged 25-54 > All persons"
"LFIN55" "Labour Force Survey - quarterly levels > Inactive population > Aged 55-64"
"LFIN55FE" "Labour Force Survey - quarterly levels > Inactive population > Aged 55-64 > Females"
"LFIN55MA" "Labour Force Survey - quarterly levels > Inactive population > Aged 55-64 > Males"
"LFIN55TT" "Labour Force Survey - quarterly levels > Inactive population > Aged 55-64 > All persons"
"LFIN64" "Labour Force Survey - quarterly levels > Inactive population > Aged 15-64"
"LFIN64FE" "Labour Force Survey - quarterly levels > Inactive population > Aged 15-64 > Females"
"LFIN64MA" "Labour Force Survey - quarterly levels > Inactive population > Aged 15-64 > Males"
"LFIN64TT" "Labour Force Survey - quarterly levels > Inactive population > Aged 15-64 > All persons"
"LFIN74" "Labour Force Survey - quarterly levels > Inactive population > Aged 15-74"
"LFIN74FE" "Labour Force Survey - quarterly levels > Inactive population > Aged 15-74 > Females"
"LFIN74MA" "Labour Force Survey - quarterly levels > Inactive population > Aged 15-74 > Males"
"LFIN74TT" "Labour Force Survey - quarterly levels > Inactive population > Aged 15-74 > All persons"
"LFINTT" "Labour Force Survey - quarterly levels > Inactive population > Aged 15 and over"
"LFINTTFE" "Labour Force Survey - quarterly levels > Inactive population > Aged 15 and over > Females"
"LFINTTMA" "Labour Force Survey - quarterly levels > Inactive population > Aged 15 and over > Males"
"LFINTTTT" "Labour Force Survey - quarterly levels > Inactive population > Aged 15 and over > All persons"
"LFPO" "Labour Force Survey - quarterly levels > Population (LFS basis)"
"LFPOTT" "Labour Force Survey - quarterly levels > Population (LFS basis) > All ages"
"LFPOTTFE" "Labour Force Survey - quarterly levels > Population (LFS basis) > All ages > Females"
"LFPOTTMA" "Labour Force Survey - quarterly levels > Population (LFS basis) > All ages > Males"
"LFPOTTTT" "Labour Force Survey - quarterly levels > Population (LFS basis) > All ages > All persons"
"LFUN" "Labour Force Survey - quarterly levels > Unemployed population"
"LFUN24" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15-24"
"LFUN24FE" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15-24 > Females"
"LFUN24MA" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15-24 > Males"
"LFUN24TT" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15-24 > Total"
"LFUN25" "Labour Force Survey - quarterly levels > Unemployed population > Aged 25-54"
"LFUN25FE" "Labour Force Survey - quarterly levels > Unemployed population > Aged 25-54 > Females"
"LFUN25MA" "Labour Force Survey - quarterly levels > Unemployed population > Aged 25-54 > Males"
"LFUN25TT" "Labour Force Survey - quarterly levels > Unemployed population > Aged 25-54 > Total"
"LFUN55" "Labour Force Survey - quarterly levels > Unemployed population > Aged 55-64"
"LFUN55FE" "Labour Force Survey - quarterly levels > Unemployed population > Aged 55-64 > Females"
"LFUN55MA" "Labour Force Survey - quarterly levels > Unemployed population > Aged 55-64 > Males"
"LFUN55TT" "Labour Force Survey - quarterly levels > Unemployed population > Aged 55-64 > All persons"
"LFUN64" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15-64"
"LFUN64FE" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15-64 > Females"
"LFUN64MA" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15-64 > Males"
"LFUN64TT" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15-64 > All persons"
"LFUN74" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15-74"
"LFUN74FE" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15-74 > Females"
"LFUN74MA" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15-74 > Males"
"LFUN74TT" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15-74 > All persons"
"LFUNTT" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15 and over"
"LFUNTTFE" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15 and over > Females"
"LFUNTTMA" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15 and over > Males"
"LFUNTTTT" "Labour Force Survey - quarterly levels > Unemployed population > Aged 15 and over > All persons"
"LFUT" "Labour Force Survey - quarterly levels > Unemployment - by duration"
"LFUTLT" "Labour Force Survey - quarterly levels > Unemployment - by duration > Long term (1 year and over)"
"LFUTLTTT" "Labour Force Survey - quarterly levels > Unemployment - by duration > Long term (1 year and over) > All persons"
"LFUTST" "Labour Force Survey - quarterly levels > Unemployment - by duration > Short term (less than 1 year)"
"LFUTSTTT" "Labour Force Survey - quarterly levels > Unemployment - by duration > Short term (less than 1 year) > All persons"
"LFWA" "Labour Force Survey - quarterly levels > Working age population"
"LFWA24" "Labour Force Survey - quarterly levels > Working age population > Aged 15-24"
"LFWA24FE" "Labour Force Survey - quarterly levels > Working age population > Aged 15-24 > Females"
"LFWA24MA" "Labour Force Survey - quarterly levels > Working age population > Aged 15-24 > Males"
"LFWA24TT" "Labour Force Survey - quarterly levels > Working age population > Aged 15-24 > All persons"
"LFWA25" "Labour Force Survey - quarterly levels > Working age population > Aged 25-54"
"LFWA25FE" "Labour Force Survey - quarterly levels > Working age population > Aged 25-54 > Females"
"LFWA25MA" "Labour Force Survey - quarterly levels > Working age population > Aged 25-54 > Males"
"LFWA25TT" "Labour Force Survey - quarterly levels > Working age population > Aged 25-54 > All persons"
"LFWA55" "Labour Force Survey - quarterly levels > Working age population > Aged 55-64"
"LFWA55FE" "Labour Force Survey - quarterly levels > Working age population > Aged 55-64 > Females"
"LFWA55MA" "Labour Force Survey - quarterly levels > Working age population > Aged 55-64 > Males"
"LFWA55TT" "Labour Force Survey - quarterly levels > Working age population > Aged 55-64 > All persons"
"LFWA64" "Labour Force Survey - quarterly levels > Working age population > Aged 15-64"
"LFWA64FE" "Labour Force Survey - quarterly levels > Working age population > Aged 15-64 > Females"
"LFWA64MA" "Labour Force Survey - quarterly levels > Working age population > Aged 15-64 > Males"
"LFWA64TT" "Labour Force Survey - quarterly levels > Working age population > Aged 15-64 > All persons"
"LFWA74" "Labour Force Survey - quarterly levels > Working age population > Aged 15-74"
"LFWA74FE" "Labour Force Survey - quarterly levels > Working age population > Aged 15-74 > Females"
"LFWA74MA" "Labour Force Survey - quarterly levels > Working age population > Aged 15-74 > Males"
"LFWA74TT" "Labour Force Survey - quarterly levels > Working age population > Aged 15-74 > All persons"
"LFWATT" "Labour Force Survey - quarterly levels > Working age population > Aged 15 and over"
"LFWATTFE" "Labour Force Survey - quarterly levels > Working age population > Aged 15 and over > Females"
"LFWATTMA" "Labour Force Survey - quarterly levels > Working age population > Aged 15 and over > Males"
"LFWATTTT" "Labour Force Survey - quarterly levels > Working age population > Aged 15 and over > All persons"
"LM" "Labour - other labour market measures"
"LMJV" "Labour - other labour market measures > Job vacancies"
"LMJVPB" "Labour - other labour market measures > Job vacancies > Public sector"
"LMJVPBUV" "Labour - other labour market measures > Job vacancies > Public sector > Unfilled vacancies (stock)"
"LMJVPR" "Labour - other labour market measures > Job vacancies > Private sector"
"LMJVPRUV" "Labour - other labour market measures > Job vacancies > Private sector > Unfilled vacancies (stock)"
"LMJVTT" "Labour - other labour market measures > Job vacancies > Total"
"LMJVTTNV" "Labour - other labour market measures > Job vacancies > Total > New vacancies (flow)"
"LMJVTTUV" "Labour - other labour market measures > Job vacancies > Total > Unfilled vacancies (stock)"
"LMUN" "Labour - other labour market measures > Registered unemployment"
"LMUNRL" "Labour - other labour market measures > Registered unemployment > Level"
"LMUNRLTT" "Labour - other labour market measures > Registered unemployment > Level > Total"
"LMUNRR" "Labour - other labour market measures > Registered unemployment > Rate"
"LMUNRRTT" "Labour - other labour market measures > Registered unemployment > Rate > Total"
"LO" "Leading Indicators OECD"
"LOCO" "Leading Indicators OECD > Component series"
"LOCOAB" "Leading Indicators OECD > Component series > Bank activity"
"LOCOABNO" "Leading Indicators OECD > Component series > Bank activity > Normalised"
"LOCOABOR" "Leading Indicators OECD > Component series > Bank activity > Original series"
"LOCOBC" "Leading Indicators OECD > Component series > BTS - Sales expectations"
"LOCOBCNO" "Leading Indicators OECD > Component series > BTS - Sales expectations > Normalised"
"LOCOBCOR" "Leading Indicators OECD > Component series > BTS - Sales expectations > Original series"
"LOCOBD" "Leading Indicators OECD > Component series > BTS - Demand or orders inflow"
"LOCOBDNO" "Leading Indicators OECD > Component series > BTS - Demand or orders inflow > Normalised"
"LOCOBDOR" "Leading Indicators OECD > Component series > BTS - Demand or orders inflow > Original series"
"LOCOBE" "Leading Indicators OECD > Component series > BTS - Employment"
"LOCOBENO" "Leading Indicators OECD > Component series > BTS - Employment > Normalised"
"LOCOBEOR" "Leading Indicators OECD > Component series > BTS - Employment > Original series"
"LOCOBF" "Leading Indicators OECD > Component series > BTS - Finished goods stocks"
"LOCOBFNO" "Leading Indicators OECD > Component series > BTS - Finished goods stocks > Normalised"
"LOCOBFOR" "Leading Indicators OECD > Component series > BTS - Finished goods stocks > Original series"
"LOCOBI" "Leading Indicators OECD > Component series > BTS - Prices expectations"
"LOCOBINO" "Leading Indicators OECD > Component series > BTS - Prices expectations > Normalised"
"LOCOBIOR" "Leading Indicators OECD > Component series > BTS - Prices expectations > Original series"
"LOCOBK" "Leading Indicators OECD > Component series > BTS - Stocks of orders"
"LOCOBKNO" "Leading Indicators OECD > Component series > BTS - Stocks of orders > Normalised"
"LOCOBKOR" "Leading Indicators OECD > Component series > BTS - Stocks of orders > Original series"
"LOCOBO" "Leading Indicators OECD > Component series > BTS - Order books"
"LOCOBONO" "Leading Indicators OECD > Component series > BTS - Order books > Normalised"
"LOCOBOOR" "Leading Indicators OECD > Component series > BTS - Order books > Original series"
"LOCOBP" "Leading Indicators OECD > Component series > BTS - Production"
"LOCOBPNO" "Leading Indicators OECD > Component series > BTS - Production > Normalised"
"LOCOBPOR" "Leading Indicators OECD > Component series > BTS - Production > Original series"
"LOCOBS" "Leading Indicators OECD > Component series > BTS - Business situation"
"LOCOBSNO" "Leading Indicators OECD > Component series > BTS - Business situation > Normalised"
"LOCOBSOR" "Leading Indicators OECD > Component series > BTS - Business situation > Original series"
"LOCOBU" "Leading Indicators OECD > Component series > BTS - Capacity utilization"
"LOCOBUNO" "Leading Indicators OECD > Component series > BTS - Capacity utilization > Normalised"
"LOCOBUOR" "Leading Indicators OECD > Component series > BTS - Capacity utilization > Original series"
"LOCOBX" "Leading Indicators OECD > Component series > BTS - Export orders"
"LOCOBXNO" "Leading Indicators OECD > Component series > BTS - Export orders > Normalised"
"LOCOBXOR" "Leading Indicators OECD > Component series > BTS - Export orders > Original series"
"LOCOCE" "Leading Indicators OECD > Component series > CS - Expected economic situation"
"LOCOCENO" "Leading Indicators OECD > Component series > CS - Expected economic situation > Normalised"
"LOCOCEOR" "Leading Indicators OECD > Component series > CS - Expected economic situation > Original series"
"LOCOCI" "Leading Indicators OECD > Component series > CS - Confidence indicator"
"LOCOCINO" "Leading Indicators OECD > Component series > CS - Confidence indicator > Normalised"
"LOCOCIOR" "Leading Indicators OECD > Component series > CS - Confidence indicator > Original series"
"LOCODW" "Leading Indicators OECD > Component series > Construction"
"LOCODWNO" "Leading Indicators OECD > Component series > Construction > Normalised"
"LOCODWOR" "Leading Indicators OECD > Component series > Construction > Original series"
"LOCOEM" "Leading Indicators OECD > Component series > Employment - Unemployment"
"LOCOEMNO" "Leading Indicators OECD > Component series > Employment - Unemployment > Normalised"
"LOCOEMOR" "Leading Indicators OECD > Component series > Employment - Unemployment > Original series"
"LOCOEX" "Leading Indicators OECD > Component series > Currency conversion"
"LOCOEXNO" "Leading Indicators OECD > Component series > Currency conversion > Normalised"
"LOCOEXOR" "Leading Indicators OECD > Component series > Currency conversion > Original series"
"LOCOHS" "Leading Indicators OECD > Component series > Hours"
"LOCOHSNO" "Leading Indicators OECD > Component series > Hours > Normalised"
"LOCOHSOR" "Leading Indicators OECD > Component series > Hours > Original series"
"LOCOIS" "Leading Indicators OECD > Component series > Inventories to shipments"
"LOCOISNO" "Leading Indicators OECD > Component series > Inventories to shipments > Normalised"
"LOCOISOR" "Leading Indicators OECD > Component series > Inventories to shipments > Original series"
"LOCOLT" "Leading Indicators OECD > Component series > Long-term interest rate"
"LOCOLTNO" "Leading Indicators OECD > Component series > Long-term interest rate > Normalised"
"LOCOLTOR" "Leading Indicators OECD > Component series > Long-term interest rate > Original series"
"LOCOMA" "Leading Indicators OECD > Component series > Monetary Aggregates"
"LOCOMANO" "Leading Indicators OECD > Component series > Monetary Aggregates > Normalised"
"LOCOMAOR" "Leading Indicators OECD > Component series > Monetary Aggregates > Original series"
"LOCOMG" "Leading Indicators OECD > Component series > Imports of goods"
"LOCOMGNO" "Leading Indicators OECD > Component series > Imports of goods > Normalised"
"LOCOMGOR" "Leading Indicators OECD > Component series > Imports of goods > Original series"
"LOCONT" "Leading Indicators OECD > Component series > Net trade"
"LOCONTNO" "Leading Indicators OECD > Component series > Net trade > Normalised"
"LOCONTOR" "Leading Indicators OECD > Component series > Net trade > Original series"
"LOCOOD" "Leading Indicators OECD > Component series > Orders"
"LOCOODNO" "Leading Indicators OECD > Component series > Orders > Normalised"
"LOCOODOR" "Leading Indicators OECD > Component series > Orders > Original series"
"LOCOPA" "Leading Indicators OECD > Component series > Balance of payments"
"LOCOPANO" "Leading Indicators OECD > Component series > Balance of payments > Normalised"
"LOCOPAOR" "Leading Indicators OECD > Component series > Balance of payments > Original series"
"LOCOPB" "Leading Indicators OECD > Component series > Production - Basic metals"
"LOCOPBNO" "Leading Indicators OECD > Component series > Production - Basic metals > Normalised"
"LOCOPBOR" "Leading Indicators OECD > Component series > Production - Basic metals > Original series"
"LOCOPC" "Leading Indicators OECD > Component series > Consumer prices"
"LOCOPCNO" "Leading Indicators OECD > Component series > Consumer prices > Normalised"
"LOCOPCOR" "Leading Indicators OECD > Component series > Consumer prices > Original series"
"LOCOPE" "Leading Indicators OECD > Component series > Production - Electricity"
"LOCOPENO" "Leading Indicators OECD > Component series > Production - Electricity > Normalised"
"LOCOPEOR" "Leading Indicators OECD > Component series > Production - Electricity > Original series"
"LOCOPF" "Leading Indicators OECD > Component series > Production - Chemicals"
"LOCOPFNO" "Leading Indicators OECD > Component series > Production - Chemicals > Normalised"
"LOCOPG" "Leading Indicators OECD > Component series > Production - Goods"
"LOCOPGNO" "Leading Indicators OECD > Component series > Production - Goods > Normalised"
"LOCOPGOR" "Leading Indicators OECD > Component series > Production - Goods > Original series"
"LOCOPM" "Leading Indicators OECD > Component series > Production - Non metallic"
"LOCOPMNO" "Leading Indicators OECD > Component series > Production - Non metallic > Normalised"
"LOCOPMOR" "Leading Indicators OECD > Component series > Production - Non metallic > Original series"
"LOCOPP" "Leading Indicators OECD > Component series > Producer prices"
"LOCOPPNO" "Leading Indicators OECD > Component series > Producer prices > Normalised"
"LOCOPPOR" "Leading Indicators OECD > Component series > Producer prices > Original series"
"LOCOPQ" "Leading Indicators OECD > Component series > Production - Mining and quarrying"
"LOCOPQNO" "Leading Indicators OECD > Component series > Production - Mining and quarrying > Normalised"
"LOCOPQOR" "Leading Indicators OECD > Component series > Production - Mining and quarrying > Original series"
"LOCOS3" "Leading Indicators OECD > Component series > Services - Demand Expectation"
"LOCOS3NO" "Leading Indicators OECD > Component series > Services - Demand Expectation > Normalised"
"LOCOS3OR" "Leading Indicators OECD > Component series > Services - Demand Expectation > Original series"
"LOCOSI" "Leading Indicators OECD > Component series > Interest rate spread"
